frame_num,action_label,hand_state,obj_state
0,move hand,unoccupied,N/A
1,move hand,unoccupied,N/A
2,move hand,unoccupied,N/A
3,move hand,unoccupied,N/A
4,move hand,unoccupied,N/A
5,move hand,unoccupied,N/A
6,move hand,unoccupied,N/A
7,move hand,unoccupied,N/A
8,move hand,unoccupied,N/A
9,move hand,unoccupied,N/A
10,move hand,unoccupied,N/A
11,move hand,unoccupied,N/A
12,move hand,unoccupied,N/A
13,move hand,unoccupied,N/A
14,move hand,unoccupied,N/A
15,move hand,unoccupied,N/A
16,move hand,unoccupied,N/A
17,move hand,unoccupied,N/A
18,move hand,unoccupied,N/A
19,move hand,unoccupied,N/A
20,move hand,unoccupied,N/A
21,move hand,unoccupied,N/A
22,move hand,unoccupied,N/A
23,move hand,unoccupied,N/A
24,move hand,unoccupied,N/A
25,move hand,unoccupied,N/A
26,move hand,unoccupied,N/A
27,move hand,unoccupied,N/A
28,move hand,unoccupied,N/A
29,move hand,unoccupied,N/A
30,move hand,unoccupied,N/A
31,move hand,unoccupied,N/A
32,move hand,unoccupied,N/A
33,move hand,unoccupied,N/A
34,move hand,unoccupied,N/A
35,move hand,unoccupied,N/A
36,move hand,unoccupied,N/A
37,move hand,unoccupied,N/A
38,move hand,unoccupied,N/A
39,move hand,unoccupied,N/A
40,move hand,unoccupied,N/A
41,move hand,unoccupied,N/A
42,move hand,unoccupied,N/A
43,move hand,unoccupied,N/A
44,move hand,unoccupied,N/A
45,move hand,unoccupied,N/A
46,move hand,unoccupied,N/A
47,move hand,unoccupied,N/A
48,move hand,unoccupied,N/A
49,move hand,unoccupied,N/A
50,move hand,unoccupied,N/A
51,move hand,unoccupied,N/A
52,move hand,unoccupied,N/A
53,move hand,unoccupied,N/A
54,move hand,unoccupied,N/A
55,move hand,unoccupied,N/A
56,move hand,unoccupied,N/A
57,move hand,unoccupied,N/A
58,move hand,unoccupied,N/A
59,move hand,unoccupied,N/A
60,move hand,unoccupied,N/A
61,move hand,unoccupied,N/A
62,move hand,unoccupied,N/A
63,move hand,unoccupied,N/A
64,move hand,unoccupied,N/A
65,move hand,unoccupied,N/A
66,move hand,unoccupied,N/A
67,move hand,unoccupied,N/A
68,move hand,unoccupied,N/A
69,move hand,unoccupied,N/A
70,move hand,unoccupied,N/A
71,move hand,unoccupied,N/A
72,move hand,unoccupied,N/A
73,move hand,unoccupied,N/A
74,move hand,unoccupied,N/A
75,move hand,unoccupied,N/A
76,move hand,unoccupied,N/A
77,move hand,unoccupied,N/A
78,move hand,unoccupied,N/A
79,move hand,unoccupied,N/A
80,move hand,unoccupied,N/A
81,move hand,unoccupied,N/A
82,move hand,unoccupied,N/A
83,move hand,unoccupied,N/A
84,move hand,unoccupied,N/A
85,move hand,unoccupied,N/A
86,move hand,unoccupied,N/A
87,move hand,unoccupied,N/A
88,move hand,unoccupied,N/A
89,move hand,unoccupied,N/A
90,move hand,unoccupied,N/A
91,move hand,unoccupied,N/A
92,move hand,unoccupied,N/A
93,move hand,unoccupied,N/A
94,move hand,unoccupied,N/A
95,move hand,unoccupied,N/A
96,move hand,unoccupied,N/A
97,move hand,unoccupied,N/A
98,move hand,unoccupied,N/A
99,move hand,unoccupied,N/A
100,move hand,unoccupied,N/A
101,move hand,unoccupied,N/A
102,move hand,unoccupied,N/A
103,move hand,unoccupied,N/A
104,move hand,unoccupied,N/A
105,move hand,unoccupied,N/A
106,move hand,unoccupied,N/A
107,move hand,unoccupied,N/A
108,move hand,unoccupied,N/A
109,move hand,unoccupied,N/A
110,move hand,unoccupied,N/A
111,move hand,unoccupied,N/A
112,move hand,unoccupied,N/A
113,move hand,unoccupied,N/A
114,move hand,unoccupied,N/A
115,move hand,unoccupied,N/A
116,move hand,unoccupied,N/A
117,move hand,unoccupied,N/A
118,move hand,unoccupied,N/A
119,move hand,unoccupied,N/A
120,move hand,unoccupied,N/A
121,move hand,unoccupied,N/A
122,move hand,unoccupied,N/A
123,move hand,unoccupied,N/A
124,move hand,unoccupied,N/A
125,move hand,unoccupied,N/A
126,move hand,unoccupied,N/A
127,move hand,unoccupied,N/A
128,move hand,unoccupied,N/A
129,move hand,unoccupied,N/A
130,move hand,unoccupied,N/A
131,move hand,unoccupied,N/A
132,move hand,unoccupied,N/A
133,move hand,unoccupied,N/A
134,move hand,unoccupied,N/A
135,move hand,unoccupied,N/A
136,move hand,unoccupied,N/A
137,move hand,unoccupied,N/A
138,move hand,unoccupied,N/A
139,move hand,unoccupied,N/A
140,move hand,unoccupied,N/A
141,move hand,unoccupied,N/A
142,move hand,unoccupied,N/A
143,move hand,unoccupied,N/A
