frame_num,action_label,hand_state,obj_state
0,move hand,unoccupied,N/A
1,move hand,unoccupied,N/A
2,move hand,unoccupied,N/A
3,move hand,unoccupied,N/A
4,move hand,unoccupied,N/A
5,move hand,unoccupied,N/A
6,move hand,unoccupied,N/A
7,move hand,unoccupied,N/A
8,move hand,unoccupied,N/A
9,move hand,unoccupied,N/A
10,move hand,unoccupied,N/A
11,move hand,unoccupied,N/A
12,move hand,unoccupied,N/A
13,move hand,unoccupied,N/A
14,move hand,unoccupied,N/A
15,move hand,unoccupied,N/A
16,move hand,unoccupied,N/A
17,move hand,unoccupied,N/A
18,move hand,unoccupied,N/A
19,move hand,unoccupied,N/A
20,move hand,unoccupied,N/A
21,move hand,unoccupied,N/A
22,move hand,unoccupied,N/A
23,move hand,unoccupied,N/A
24,move hand,unoccupied,N/A
25,move hand,unoccupied,N/A
26,move hand,unoccupied,N/A
27,move hand,unoccupied,N/A
28,move hand,unoccupied,N/A
29,move hand,unoccupied,N/A
30,move hand,unoccupied,N/A
31,move hand,unoccupied,N/A
32,move hand,unoccupied,N/A
33,move hand,unoccupied,N/A
34,move hand,unoccupied,N/A
35,move hand,unoccupied,N/A
36,move hand,unoccupied,N/A
37,move hand,unoccupied,N/A
38,move hand,unoccupied,N/A
39,move hand,unoccupied,N/A
40,move hand,unoccupied,N/A
41,move hand,unoccupied,N/A
42,move hand,unoccupied,N/A
43,move hand,unoccupied,N/A
44,move hand,unoccupied,N/A
45,move hand,unoccupied,N/A
46,move hand,unoccupied,N/A
47,move hand,unoccupied,N/A
48,move hand,unoccupied,N/A
49,move hand,unoccupied,N/A
50,move hand,unoccupied,N/A
51,move hand,unoccupied,N/A
52,move hand,unoccupied,N/A
53,move hand,unoccupied,N/A
54,move hand,unoccupied,N/A
55,move hand,unoccupied,N/A
56,move hand,unoccupied,N/A
57,move hand,unoccupied,N/A
58,move hand,unoccupied,N/A
59,move hand,unoccupied,N/A
60,move hand,unoccupied,N/A
61,move hand,unoccupied,N/A
62,move hand,unoccupied,N/A
63,move hand,unoccupied,N/A
64,move hand,unoccupied,N/A
65,move book,unoccupied,0
66,move book,unoccupied,0
67,move book,unoccupied,0
68,move book,unoccupied,0
69,move book,unoccupied,0
70,move book,unoccupied,0
71,move book,unoccupied,0
72,move book,unoccupied,0
73,move book,unoccupied,0
74,move book,unoccupied,0
75,move book,unoccupied,0
76,move book,unoccupied,0
77,move book,unoccupied,0
78,move book,unoccupied,0
79,move book,unoccupied,0
80,move book,unoccupied,0
81,move book,unoccupied,0
82,move book,unoccupied,0
83,move book,unoccupied,0
84,move book,unoccupied,0
85,move book,unoccupied,0
86,move book,unoccupied,0
87,move book,unoccupied,0
88,move book,unoccupied,0
89,move book,unoccupied,0
90,move book,unoccupied,0
91,move book,unoccupied,0
92,move book,unoccupied,0
93,move book,unoccupied,0
94,move book,unoccupied,0
95,move book,unoccupied,0
96,move book,unoccupied,0
97,move book,unoccupied,0
98,move book,unoccupied,0
99,move book,unoccupied,0
100,move book,unoccupied,0
101,move book,unoccupied,0
102,move book,unoccupied,0
103,move book,unoccupied,0
104,move book,unoccupied,0
105,move book,unoccupied,0
106,move book,unoccupied,0
107,move book,unoccupied,0
108,move book,unoccupied,0
109,move book,unoccupied,0
110,move book,unoccupied,0
111,move book,unoccupied,0
112,move book,unoccupied,0
113,move book,unoccupied,0
114,move book,unoccupied,0
115,move book,unoccupied,0
116,move book,unoccupied,0
117,move book,unoccupied,0
118,move book,unoccupied,0
119,move book,unoccupied,0
120,move book,unoccupied,0
121,move book,unoccupied,0
122,move book,unoccupied,0
123,move book,unoccupied,0
124,move book,unoccupied,0
125,move book,unoccupied,0
126,move book,unoccupied,0
127,move book,unoccupied,0
128,move book,unoccupied,0
129,move book,unoccupied,0
130,move book,unoccupied,0
131,move book,unoccupied,0
132,move book,unoccupied,0
133,move book,unoccupied,0
134,move book,unoccupied,0
135,move book,unoccupied,0
136,move book,unoccupied,0
137,move book,unoccupied,0
138,move book,unoccupied,0
139,move book,unoccupied,0
140,move book,unoccupied,0
141,move book,unoccupied,0
142,move book,unoccupied,0
143,move book,unoccupied,0
144,move book,unoccupied,0
145,move book,unoccupied,0
146,move book,unoccupied,0
147,move book,unoccupied,0
148,move book,unoccupied,0
149,move book,unoccupied,0
150,move book,unoccupied,0
151,move book,unoccupied,0
152,move book,unoccupied,0
153,move book,unoccupied,0
154,move book,unoccupied,0
155,move hand,unoccupied,N/A
156,move hand,unoccupied,N/A
157,move hand,unoccupied,N/A
158,move hand,unoccupied,N/A
159,move hand,unoccupied,N/A
160,move hand,unoccupied,N/A
